iter	Passed	Remaining
0	4	466
1	8	428
2	12	402
3	16	405
4	21	399
5	24	391
6	28	383
7	32	374
8	36	367
9	39	356
10	42	347
11	46	343
12	50	338
13	54	332
14	58	329
15	62	325
16	65	320
17	68	314
18	72	310
19	76	305
20	80	301
21	83	296
22	87	292
23	90	286
24	93	280
25	96	275
26	100	270
27	103	265
28	106	260
29	110	257
30	113	252
31	116	248
32	120	244
33	123	240
34	127	236
35	130	232
36	134	229
37	138	226
38	142	222
39	145	218
40	149	215
41	153	212
42	158	209
43	162	206
44	166	203
45	170	200
46	175	197
47	179	194
48	183	191
49	187	187
50	192	184
51	196	181
52	201	178
53	204	174
54	209	171
55	213	167
56	217	164
57	221	160
58	225	156
59	229	152
60	233	149
61	236	145
62	240	141
63	244	137
64	247	133
65	250	129
66	254	125
67	257	121
68	260	116
69	263	112
70	266	108
71	270	105
72	273	101
73	276	97
74	280	93
75	284	89
76	288	86
77	291	82
78	295	78
79	298	74
80	302	70
81	305	66
82	308	63
83	311	59
84	314	55
85	317	51
86	321	47
87	324	44
88	327	40
89	330	36
90	334	33
91	337	29
92	340	25
93	344	21
94	348	18
95	351	14
96	354	10
97	357	7
98	361	3
99	364	0
